Year,Bajra,Ragi,Jowar,Total
2013-14,0,0,0,0
2014-15,0,0,0,0
2015-16,0,0,0,0
2016-17,0,0,0,0
2017-18,45000,0,0,45000
2018-19,92000,0,0,92000
2019-20,33000,0,0,33000
2020-21,114120,0,0,114120
2021-22,246000,95750,20000,361750
